3D Systems
Apollo Tacticalome Fund
Apple Hospitality REIT
Applied Industrial Technologies
AptarGroup
Aptiv
Aqua America
Aquantia
AquaVenture
Aramark
Arbor Realty Trust
ARC Document Solutions
ArcelorMittal
Archal
Archer-Daniels-Midland
Archrock
Arconic
Arcos Dorados
Arcosa
Arcus Biosciences
Ardagh S.A.
Ardmore Shipping
Ares Capital
Aresmmercial Real Estate
Ares Dynamic Credit Allocation Fund
Ares Management
Argan
Argo
Arista Networks
Arlington Asset Investment
Arlo Technologies
Armada Hoffler Properties
ARMOUR Residential REIT
Armstrong Flooring
Armstrong World Industries
Arrow Electronics
Arthur J. Gallagher.
Artisan Partners Asset Management
ASA Gold and Precious Metals
Asbury Automotive
ASE Technology Holding.
ASGNorporated
Ashford Hospitality Trust
Ashland Global
Aspen Aerogels
Aspen Insurance
AssetMark
Associated Banc-Corp
Associated Capital
Assurant
Assured Guaranty
Astrazeneca
At Home
AT&T
Atento S.A.
Athene Holding
Atkore
Atlantic Power
Atmos Energy
AU Optronics
Aurora Cannabis
Autohome
Autoliv
AutoNation
AutoZone
Avalara
AvalonBaymmunities
Avangrid
Avanos Medical
Avantor
Avaya
Avery Dennison
Avianca S.A.
Avista
Avon Products
AVX
AXA Equitable
Axaltaating Systems
Axis Capital
Axos
Azul S.A.
Azure Power Global
AZZ
B&G Foods
B. Riley Principal Merger
Babcock
Babson Global Short Duration High Yield Fund
Badger Meter
Bain Capital Specialty Finance
Baker Hughes a GE company
BalckRock Taxable Municipal Bond Trust
Ball
Banc of California
Banco Bilbao Viscaya Argentaria S.A.
Banco Bradesco Sa
Banco De Chile
Banco Latinoamericano demercio Exterior S.A.
Banco Santander Brasil SA
Banco Santander Chile
Banco Santander Mexico S.A. Institucion de Ban
Banco Santander S.A.
BanColombia S.A.
BancorpSouth Bank
Bank of America
Bank of Hawaii
Bank Of Montreal
Bank of N.T. Butterfield Son
Bank Of New York Mellon
Bank of Nova Scotia
BankUnited
Barclays
Barings BDC
Baringsorate Investors
Barings Participation Investors
Barnes Noble Education
Barnes Noble
Barnes
Barrick Gold
Basic Energy Services
Bausch Healthmpanies
Baxter
Baytex Energy
BB&T
BBVA Banco Frances S.A.
BBX Capital
BCE
Beazer Homes USA
Becton Dickinson and
Belden
Benchmark Electronics
Berkshire Hathaway
Berkshire Hills Bancorp
Berry Global
Best Buy.
BEST
BHP
BHP Plc
Big Lots
Biglari
Biohaven Pharmaceutical Holding
Bio-Rad Laboratories
Bitauto
BJ&#39;s Wholesale Club
Black Hills
Black Knight
Black Stone Minerals
BlackBerry
BlackRock 2022 Globalome Opportunity Trust
BlackRock California Municipalome Trust
Blackrock Capital andome Strategies Fund
Blackrockre Bond Trust
Blackrockorate High Yield Fund
BlackRock Credit Allocationome Trust
Blackrock Debt Strategies Fund
BlackRock Energy and Resources Trust
Blackrock Enhanced Equity Dividend Trust
Blackrock Enhanced Government Fund
Blackrock Floating Rateome Strategies Fund
Blackrock Florida Municipal 2020 Term Trust
Blackrock Global
Blackrock Health Sciences Trust
BlackRockome Investment Quality Trust
BlackRockome Trust
BLACKROCK INTERNATIONAL LTD.
BlackRock Investment Quality Municipal Trust
BlackRock Long-Term Municipal Advantage Trust
BlackRock Maryland Municipal Bond Trust
BlackRock Massachusetts Tax-Exempt Trust
BlackRock Multi-Sectorome Trust
Blackrock Muni Intermediate Duration Fund
Blackrock Muni New York Intermediate Duration Fund
Blackrock MuniAssets Fund
Blackrock Municipal 2020 Term Trust
Blackrock Municipal Bond Trust
BlackRock Municipalome Investment Trust
Blackrock Municipalome Quality Trust
BlackRock Municipalome Trust
BlackRock Municipalome Trust II
BlackRock Municipal Target Term Trust
Blackrock MuniEnhanced Fund
Blackrock MuniHoldings California Quality Fund
Blackrock MuniHoldings Fund II
Blackrock MuniHoldings Fund
Blackrock MuniHoldings Investment Quality Fund
Blackrock MuniHoldings New Jersey Insured Fund
Blackrock MuniHoldings New York Quality Fund
Blackrock MuniHoldings Quality Fund II
Blackrock MuniHoldings Quality Fund
Blackrock MuniVest Fund II
Blackrock MuniYield California Fund
Blackrock MuniYield California Insured Fund
Blackrock MuniYield Fund
Blackrock MuniYield Investment Fund
Blackrock MuniYield Investment QualityFund
Blackrock MuniYield Michigan Quality Fund
Blackrock MuniYield New Jersey Fund
Blackrock MuniYield New York Quality Fund
Blackrock MuniYield Pennsylvania Quality Fund
Blackrock MuniYield Quality Fund II
Blackrock MuniYield Quality Fund III
Blackrock MuniYield Quality Fund
BlackRock New York Investment Quality Municipal Trust (Th
Blackrock New York Municipal Bond Trust
Blackrock New York Municipalome Quality Trust
BlackRock New York Municipalome Trust II
BlackRock Resources
BlackRock Science and Technology Trust
BlackRock Science and Technology Trust II
BlackRock Strategic Municipal Trust
BlackRock Utility Infrastructure Power Opportun
BlackRock Virginia Municipal Bond Trust
BlackRock
Blackstone / GSO Strategic Credit Fund
Blackstone GSO Long Short Creditome Fund
Blackstone GSO Senior Floating Rate Term Fund
Bloom Energy
Blue Apron
Blue Capital Reinsurance
Bluegreen Vacations
BlueLinx
BNY Mellon Alcentra Global Creditome 2024 Target Term Fund
BNY Mellon High Yield Strategies Fund
BNY Mellon Municipal Bond Infrastructure Fund
BNY Mellon Strategic Municipal Bond Fund
BNY Mellon Strategic Municipals
Boeing
Boise Cascade L.L.C.
Bonanza Creek Energy
Boot Barn
Booz Allen Hamilton Holding
BorgWarner
Boston Beer
Boston Properties
Boston Scientific
Box
Boyd Gaming
BP Midstream Partners
BP p.l.c.
BP Prudhoe Bay Royalty Trust
Brady
Braemar Hotels Resorts
Brandywine Realty Trust
BrandywineGLOBAL Globalome Opportunities Fund
Brasilagro Cia Brasileira De Propriedades Agricolas
BRF S.A.
Briggs Stratton
Brigham Minerals
Bright Horizons Family Solutions
Bright Scholar Education
BrightSphere Investment
BrightView
Brinker
Brink&#39;s
Bristol-Myers Squibb
British American Tobacco p.l.c.
Brixmor Property
Broadridge Solutions
Brookdale Senior Living
Brookfield Asset Management
Brookfield Business Partners
Brookfield DTLA
Brookfield Global Listed Infrastructureome Fund
Brookfield Infrastructure Partners
Brookfield Real Assetsome Fund
Brookfield Renewable Partners
Brown Brown
Brown Forman
BRT Apartments
Brunswick
BT plc
Buckeye Partners
Buckle
Buenaventura Mining
Build-A-Bear Workshop
Bunge
Burlington Stores
BWX Technologies
Byline Bancorp
C&J Energy Services
CABCO Series 2004-101 Trust
Cable One
Cabot
Cabot Oil Gas
CACI
Cactus
Cadence Bancorporation
CAE
CAI
Caleres
California Resources
California Water  Service Holding
Calix
Callaway Golf
Callon Petroleum
Cambrex
Camden Property Trust
Cameco
Campbell Soup
Camping World
Canada Goose
Canadian Imperial Bank ofmmerce
Canadian National Railway
Canadian Natural Resources
Canadian Pacific Railway
Cango
Cannae
CannTrust
Canon
Canopy Growth
Cantel Medical
Capital One
Capital Senior Living
Capital Trust
Capitol Investment IV
Capri
Capstead Mortgage
Carbo Ceramics
Cardinal Health
Care.com
Carlislempaniesorporated
CarMax
Carnival
Carpenter Technology
Carriage Services
Cars.com
Carter&#39;s
Carvana.
Castlight Health inc.
Catalent
CatchMark Timber Trust
Caterpillar
Cato
CBIZ
CBL Associates Properties
CBO (Listing Market - NYSE - Networks A/E)
CBRE Clarion Global Real Estateome Fund
CBRE
CBS
CBX (Listing Market NYSE Networks AE
Cedar Fair
Cedar Realty Trust
Celanese
Celestica
Cellcom Israel
Cementos Pacasmayo S.A.A.
Cemex S.A.B. de C.V.
Cenovus Energy
Centene
Centerast Brookfield MLP Energy Infrastructur
CenterPoint Energy
Centrais Electricas Brasileiras S.A.- Eletrobras
Central Puerto S.A.
Centurymmunities
CenturyLink
Ceridian HCM Holding
CF Industries
CGI
ChannelAdvisor
Chaparral Energy
Charah Solutions
Charles River Laboratories
Chatham Lodging Trust (REIT)
Cheetah Mobile
Chegg
Chemed
Chemours
Cherry Hill Mortgage Investment
Chesapeake Energy
Chesapeake Granite Wash Trust
Chesapeake Lodging Trust
Chesapeake Utilities
Chevron
Chewy
Chico&#39;s FAS
Chimera Investment
China Distance Education
China Eastern Airlines
China Fund
China Green Agriculture
China Life Insurance
China Mobile (Hong Kong)
China Online Education
China Petroleum Chemical
China Rapid Finance
China Southern Airlines
China Telecom
China Unicom (Hong Kong)
China Yuchai
Chipotle Mexican Grill
Choice Hotels
Chubb
Chunghwa Telecom.
Church Dwight
Churchill Capital II
Ciena
Cigna
Cimarex Energy
Cincinnati Bell
Cinemark
Ciner Resources
CIRCOR
Cision
CIT (DEL)
Citigroup
Citizens
City Office REIT
Civeo
Clarivate Analytics Plc
Clean Harbors
Clear Channel Outdoor
ClearBridge Energy Midstream Opportunity Fund
ClearBridge MLP and Midstream Fund
ClearBridge MLP and Midstream Total Return Fund In
Clearwater Paper
Clearway Energy
Cleveland-Cliffs
Clipper Realty
Clorox
Cloudera
CMS Energy
CNA
CNFinance
CNH Industrial N.V.
CNO
CNOOC
CNX Midstream Partners
CNX Resources
Cocala Femsa S.A.B. de C.V.
Coca-Cola
Coca-Cola European Partners plc
Coeur Mining
Cohen Steers Closed-End Opportunity Fund
Cohen Steers Globalome Builder
Cohen Steers
Cohen Steers Infrastructure Fund
Cohen Steers Duration Preferred andome Fund
Cohen Steers MLPome and Energy Opportunity Fund
Cohen Steers Qualityome Realty Fund
Cohen Steers REIT and Preferred andome Fund
Cohen Steers Select Preferred andome Fund
Cohen Steers Total Return Realty Fund
Colfax
Colgate-Palmolive
Collier Creek
Colonial Highome Municipal Trust
Colonial Intermediate Highome Fund
Colonial Investment Grade Municipal Trust
Colonial Municipalome Trust
Colony Capital
Colony Credit Real Estate
Columbia Property Trust
Columbia Seligman Premium Technology Growth Fund
Comcast
Comericaorporated
Comfort Systems USA
Commercial Metals
Community Bank System
Community Health Systems
Community Healthcare Trustorporated
Comp En De Mn Cemig ADS
Companhia Brasileira de Distribuicao
Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp
Companhia Paranaense de Energia (COPEL)
Compania Cervecerias Unidas S.A.
Compass Diversified
Compass Minerals
Comstock Resources
ConAgra Brands
Concho Resources
Concord Medical Services
Conduentorporated
ConocoPhillips
CONSOLal Resources
Consolidated Edison
Constellation Brands
Constellium SE
Container Store
Continental Building Products
Continental Resources
Controladora Vuelampania de Aviacion S.A.B. de C.V.
Contura Energy
Cooper Tire Rubber
Cooper-Standard
CooTek (Cayman)
Copa S.A.
Core Laboratories N.V.
CoreCivic
CoreLogic
CorEnergy Infrastructure Trust
CorePoint Lodging
CoreSite Realty
Cornerstone Building Brands
Corningorporated
Corporacion America Airports SA
Corporate Asset Backed CABCO
Corporate Office Properties Trust
Corteva
Cosan
Costamare
Cott
Coty
Cousins Propertiesorporated
Covanta Holding
Covia
CPB
CPFL Energia S.A.
Crane.
Crawford
Credicorp
Credit Suisse
Crescent Point Energy
Crestwood Equity Partners
CRH
Cross Timbers Royalty Trust
CrossAmerica Partners
Crown Castle
Crown
CryoLife
CSS Industries
CTS
CubeSmart
Cubic
Cullen/Frost Bankers
Culp
Cummins
CURO
Curtiss-Wright
Cushing Energyome Fund
Cushing MLP Infrastructure Total Return Fund
Cushing Renaissance Fund
Cushman Wakefield plc
Customers Bancorp
CVR Energy
CVR Partners
CVS Health
Cypress Energy Partners
D.R. Horton
Danaorporated
Danaher
Danaos
DAQO New Energy
Darden Restaurants
Darling Ingredients
DaVita
DCP Midstream
Dean Foods
Deckers Outdoor
Deere
Delaware Enhanced Global Dividend
Delaware Investments Dividendome Fund
Delek Logistics Partners
Delek US
Dell Technologies
Delphi Technologies
Delta Air Lines
Deluxe
Denbury Resources
Designer Brands
Despegar.com
Deutsch Bkntingent Cap Tr V
Deutsche Bank
Devon Energy
DHI
DHT
Diageo plc
Diamond Offshore Drilling
Diamond S Shipping
Diamondrock Hospitality
Diana Shipping inc.
Dick&#39;s Sporting Goods
Diebold Nixdorforporated
Digital Realty Trust
Dillard&#39;s
Dine Brands Global
Diplomat Pharmacy
Discover Services
Dividend andome Fund
Dolby Laboratories
Dollar General
Dominion Energy
Domino&#39;s Pizza
Domtar
Donaldson
Donnelley Solutions
DorianG
DoubleLineome Solutions Fund
DoubleLine Opportunistic Credit Fund
Douglas Dynamics
Douglas Emmett
Dover
Dover Motorsports
Dow
Dr. Reddy&#39;s Laboratories
DRDGOLD
Dril-Quip
Drive Shack
DTE Energy
Ducommunorporated
Duff Phelps Global Utilityome Fund
Duff Phelps Select MLP and Midstream Energy Fund
Duff Phelps Utilitiesome
Duff Phelps Utilities Tax-Freeome
Duff Phelps Utilityorate Bond Trust
Duke Energy
Duke Realty
DuPont de Nemours
DXC Technology
Dycom Industries
Dynagas LNG Partners
Dynex Capital
E.I. du Pont de Nemours and
e.l.f. Beauty
Eagle Growth andome Opportunities Fund
Eagle Materials
Eagle Point Credit
Earthstone Energy
Easterly Government Properties
EastGroup Properties
Eastman Chemical
Eastman Kodak
Eaton
Eaton Vance
Eaton Vance Enhance Equityome Fund
Eaton Vance Enhanced Equityome Fund II
Eaton Vance Floating Rateome Trust
Eaton Vance Floating-Rate 2022 Target Term Trust
Eaton vance Floating-Rateome Plus Fund
Eaton Vance Highome 2021 Target Term Trust
Eaton Vance Municipalome 2028 Term Trust
Eaton Vance Municipalome Trust
Eaton Vance Risk-Managed Diversified Equityome Fund
Eaton Vance Senior Floating-Rate Fund
Eaton Vance Seniorome Trust
Eaton Vance Short Diversifiedome Fund
Eaton Vance Tax Advantaged Dividendome Fund
Eaton Vance Tax-Advantage Global Dividend Opp
Eaton Vance Tax-Advantaged Global Dividendome Fund
Eaton Vance Tax-Managed Buy-Writeome Fund
Eaton Vance Tax-Managed Buy-Write Strategy Fund
Eaton Vance Tax-Managed Diversified Equityome Fund
Eaton Vance Tax-Managed Global Diversified Equityome Fund
ECA Marcellus Trust I
Ecolab
Ecopetrol S.A.
Edison
Edwards Lifesciences
El Paso
El Paso Electric
Elanco Animal Healthorporated
Elastic N.V.
Eldorado Gold
Element Solutions
Elevate Credit
Eli Lilly and
Ellington
Ellington Residential Mortgage REIT
Embotelladora Andina S.A.
Embraer S.A.
EMCOR
Emerald Expositions Events
Emergent Biosolutions
Emerson Electric
Empire State Realty Trust
Employers
Empresa Distribuidora Ymercializadora Norte S.A. (Edenor)
Enable Midstream Partners
Enbridge
Encana
Encompass Health
Endava plc
Endeavour Silver
Enel Americas S.A.
Enel Chile S.A.
Energizer
Energy Transfer
Energy Transfer Operating
Enerplus
Enersys
ENI S.p.A.
EnLink Midstream
Ennis
Enova
EnPro Industries
Ensco Rowan plc
Entercommmunications
Entergy Arkansas
Entergy
Entergy Louisiana
Entergy Mississippi
Entergy New Orleans
Entergy Texas
Enterprise Products Partners
Entravisionmmunications
Envestnet
Enviva Partners
Enzo Biochem
EOG Resources
EPAM Systems
EPR Properties
EQM Midstream Partners
EQT
Equifax
Equinor ASA
Equitrans Midstream
Equitymmonwealth
Equity Lifestyle Properties
Equity Residential
Equus Total Return
Era
Eros
ESCO Technologies
Essent
Essential Properties Realty Trust
Essex Property Trust
Estee Laudermpanies
Ethan Allen Interiors
Euronav NV
European Equity Fund
Eventbrite
Evercore
Everest Re
Evergy
Everi
Eversource Energy
Evertec
Evolent Health
Evoqua Water Technologies
Exantas Capital
Exelon
Express
Exterran
Extra Space Storage
Exxon Mobil
F.N.B.
Fabrinet
FactSet Research Systems
Fair Isaac
Fang
Far Point Acquisition
Farfetch
Farmland Partners
Fastly
FB
FBL
Federal Agricultural Mortgage
Federal Realty Investment Trust
Federal Signal
Federated Investors
Federated Premier Municipalome Fund
FedEx
Ferrari N.V.
Ferrellgas Partners
Ferro
FGL
Fiat Chrysler Automobiles N.V.
Fidelity National
Fidelity National Information Services
Fiduciary/Claymore Energy Infrastructure Fund
First American
First BanCorp.
Firstmmonwealth
First Data
First Horizon National
First Industrial Realty Trust
First Majestic Silver
FIRST REPUBLIC BANK
First Trust
First Trust Dynamic Europe Equityome Fund
First Trust Energy Infrastructure Fund
First Trust Highome Long Short Fund
First Trust Intermediate Duration Preferredome Fund
First Trust MLP and Energyome Fund
First Trust New Opportunities MLP Energy Fund
First Trust Senior Floating Rate 2022 Target Term Fund
First Trust Senior Floating Rateome Fund II
First Trust Specialty Finance and Opportunities Fund
First Trust/Aberdeen Emerging Opportunity Fund
First Trust/Aberdeen Global Opportunityome Fund
FirstEnergy
Fitbit
Five Point
Fiverr
Flagstar Bancorp
Flaherty Crumrine Dynamic Preferred andome Fund
Flaherty Crumrine Preferred andome Fundo
Flaherty Crumrine Preferred andome Opportuni
Flaherty Crumrine Preferred andome Securitie
Flaherty Crumrine Total Return Fund
FleetCor Technologies
FLEX LNG
Floor Decor
Flotek Industries
Flowers Foods
Flowserve
Fluor
Fly Leasing
FMC
Fomento Economico Mexicano S.A.B. de C.V.
Foot Locker
Ford Motor
Foresight Energy
Forestar
Fortis
Fortive
Fortress Transportation and Infrastructure Investors
Fortuna Silver Mines
Fortune Brands Home Security
Forum Energy Technologies
Foundation Building Materials
Fourrners Property Trust
Four Seasons Education (Cayman)
Franco-Nevada
Franklinvey
Franklin Network
Franklin Resources
Franklin Universal Trust
Frank&#39;s N.V.
Freeport-McMoran
Fresenius Medical Care
Fresh Del Monte Produce
Front Yard Residential
Frontline
FS KKR Capital
FTInsulting
FTS
FutureFuel
Gabellinvertible andome Securities Fund
Gabelli Equity Trust
Gabelli Global Small and Mid Cap Value Trust
Gabelli Multi-Media Trust
Gabelli Utility Trust
GAIN Capital
Gamco Investors
GAMCO Natural Resources Goldome Tust
Gamestop
Gap
Gardner Denver
Garrett Motion
Gartner
GasLog.
GasLog Partners
Gates Industrial plc
GATX
GCP Applied Technologies
Genco Shipping Trading
Generac Holdlings
General American Investors
General Dynamics
General Electric
General Mills
General Motors
Genesco
Genesee Wyoming
Genesis Energy
Genesis Healthcare
Genie Energy
Genpact
Genuine Parts
Genworth
Geo
Geopark
Georgia Power
Gerdau S.A.
Getty Realty
GigCapital
GigCapital2
Gildan Activewear
Glatfelter
Glaukos
GlaxoSmithKline
Globalrd Blood
Global Medical REIT
Global Net Lease
Global Partners
Global Payments
Global Ship Lease
Globant S.A.
Globus Medical
GMS
GNC
GoDaddy
Gol Linhas Aereas Inteligentes S.A.
Gold Fields
Goldman Sachs BDC
Goldman Sachs
Goldman Sachs MLP Energy Renaissance Fund
Goldman Sachs MLPome Opportunities Fund
Gorman-Rupp
GP Strategies
Graco
Graf Industrial
GrafTech
Graham
Grana y Montero S.A.A.
Granitenstructionorporated
Granite Point Mortgage Trust
Granite Real Estate
Graphic Packaging Holding
Gray Television
Great Ajax
Great Western Bancorp
Green Dot
Greenbriermpanies
Greenhill.
GreenTree Hospitality
Greif Bros.
Griffon
Group 1 Automotive
GrubHub
Grupo Aeroportuario Del Pacifico S.A. de C.V.
Grupo Aeroportuario del Sureste S.A. de C.V.
Grupo Aval Acciones y Valores S.A.
Grupo Supervielle S.A.
Grupo Televisa S.A.
GS Acquisition
GSX Techedu
GTTmmunications
Guangshen Railway
Guess?
Guggenheim Credit Allocation Fund
Guggenheim Enhanced Equityome Fund
Guggenheim Strategic Opportunities Fund
Guggenheim Taxable Municipal Managed Duration Trst
Guidewire Software
H&R Block
H. B. Fuller
Haemonetics
Halliburton
Hamilton Beach Brands Holding
Hanesbrands
Hanger
Hannon Armstrong Sustainable Infrastructure Capital
Harley-Davidson
Harmony Gold Mining
Harsco
Harte-Hanks
Hartford Services
Haverty Furniturempanies
Hawaiian Electric Industries
HC2
HCA Healthcare
HCI
HCP
HDFC Bank
Healthcare Realty Trustorporated
Healthcare Trust of America
Hecla Mining
Heico
Helix Energy Solutions
Helmerich Payne
Herbalife Nutrition
Herc
Hercules Capital
Heritage Insurance
Hermitage Offshore Services
Hersha Hospitality Trust
Hershey
Hertz Global
Hess
Hess Midstream Partners
Hewlett Packard Enterprise
Hexcel
HEXO
Hi-Crush
Highome Securities Fund
Highland Global Allocation Fund
Highlandome Fund
HighPoint Resources
Highwoods Properties
Hill
Hillenbrand
Hill-Rom
Hilltop
Hilton Grand Vacations
Hilton Worldwide
HNI
Hoegh LNG Partners
Holly Energy Partners
HollyFrontier
Home Depot
Honda Motor
Honeywell
Horace Mann Educators
Horizon Global
Horizon Technology Finance
Hormel Foods
Hornbeck Offshore Services
Host Hotels Resorts
Houlihan Lokey
Hovnanian Enterprises
Howard Hughes
HP
HSBC plc
Huami
Huaneng Power
Hubbell
HubSpot
Hudbay Minerals
Hudson
Hudson Pacific Properties
Humana
Huntmpanies Finance Trust
Huntington Ingalls Industries
Huntsman
HUYA
Hyatt Hotels
Hyster-Yale Materials Handling
IAA
Iamgold
ICICI Bank
IDACORP
IDEX
IDT
IHS Markit
Illinois Tool Works
Imax
Independencentract Drilling
Independence Holding
Independence Realty Trust
India Fund
Industrias Bachoco S.A. de C.V.
Infosys
ING N.V.
Ingersoll-Rand plc (Ireland)
Ingevity
Ingredionorporated
Innovative Industrial Properties
Inphi
Insight Selectome Fund
Insperity
Inspire Medical Systems
Installed Building Products
Instructure
Integer
Intelsat S.A.
Intercontinental Exchange
Intercontinental Hotels
Intercorp Services
International Business Machines
International Flavors Fragrances
International Game Technology
International Paper
International Seaways
Interpublic ofmpanies
InterXion Holding N.V.
Intrepid Potash
Invacare
Invesco Bond Fund
Invesco California Value Municipalome Trust
Invesco Credit Opportunities Fund
Invesco Highome 2023 Target Term Fund
Invesco Highome 2024 Target Term Fund
Invesco Highome Trust II
INVESCO MORTGAGE CAPITAL INC
Invesco Mortgage Capital
Invesco Municipalome Opportunities Trust
Invesco Municipal Opportunity Trust
Invesco Municipal Trust
Invesco Pennsylvania Value Municipalome Trust
Invesco Plc
Invesco Quality Municipalome Trust
Invesco Seniorome Trust
Invesco Trust  for Investment Grade New York Municipal
Invesco Trust for Investment Grade Municipals
Invesco Value Municipalome Trust
Investors Real Estate Trust
Invitae
Invitation Homes
Ion Geophysical
IQVIA
Iron Mountainorporated
IRSA Inversiones Y Representaciones S.A.
Israel Chemicals Shs
iStar
Ita?Banca
Itau Unibanco Banco Holding SA
ITT
Ivy Highome Opportunities Fund
J P Morgan Chase
J. Alexander&#39;s
J. Jill
J.C. Penney Holding
J.M. Smucker
Jabil
Jacobs Engineering
Jagged Peak Energy
James Hardie Industries plc.
Janus Henderson plc
Japan Smaller Capitalization Fund
JBG SMITH Properties
Jefferies
JELD-WEN Holding
Jernigan Capital
Jianpu Technology
JinkoSolar Holding
JMP
John Bean Technologies
John Hancock Opportunities Fund
John Hancock Hedged Equityome Fund
John Hancockome Securities Trust
John Hancock Investors Trust
John Hancock Pfdome Fund II
John Hancock Preferredome Fund
John Hancock Preferredome Fund III
John Hancock Premium Dividend Fund
John Hancock Tax Advantaged Dividendome Fund
John Hancock Tax-Advantaged Global Shareholder Yield Fund
John Wiley Sons
Johnson Johnson
Johnsonntrols plc
Jones Lang LaSalleorporated
Jumei Holding
Jumia Technologies
Juniper Networks
Jupai
Just Energy
K12
Kadant
Kadmon
Kaman
Kansas City Southern
KAR Auction Services
Kayne Anderson Midstream Energy Fund
Kayne Anderson MLP/Midstream Investment
KB
KB Home
KBR
Keane
Kellogg
Kemet
Kemper
Kennametal
Kennedy-Wilson
Kenon
Keurig Dr Pepper
Key Energy Services
KeyCorp
Keysight Technologies
Kilroy Realty
Kimbell Royalty Partners
Kimberly-Clark
Kimco Realty
Kinder Morgan
Kingsway Services
Kinross Gold
Kirby
Kirkland Lake Gold
Kite Realty Trust
KKR.
KKRome Opportunities Fund
KKR Real Estate Finance Trust
Knight Transportation
Knoll
KNOT Offshore Partners
Knowles
Kohl&#39;s
Koninklijke Philips N.V.
Kontoor Brands
Koppers
Korea Electric Power
Korea Fund
Korn Ferry
Kosmos Energy
Kraton
Kroger
Kronos Worldwide
KT
L Brands
L.S. Starrett
L3Harris Technologies
Laboratory of America
Ladder Capital
LAIX
Lamb Weston
Lannett
Laredo Petroleum
Las Vegas Sands
LATAM Airlines S.A.
Lazard Global Total Return andome Fund
Lazard
Lazard World Dividendome Fund
La-Z-Boyorporated
LCI Industries
Leaf
Lear
Lee Enterprisesorporated
Legacy Acquisition
Legg Mason
Leggett Plattorporated
Lehman ABS
Leidos
Leju
LendingClub
Lennar
Lennox
Leo
Levi Strauss
Lexington Realty Trust
LG Display.
Liberty All-Star Equity Fund
Liberty All-Star Growth Fund
Liberty Oilfield Services
Liberty Property Trust
Life Storage
LightInTheBox Holding.
Lincoln National
Linde plc
Lindsay
LINE
Linx S.A.
Lions Gate Entertainment
Lithia Motors
Lithium Americas
Live Nation Entertainment
Livent
LiveRamp
Lloyds Banking Plc
LMP Capital andome Fund
Lockheed Martin
Loews
Loma Negrampania Industrial Argentina Sociedad Anonima
Louisiana-Pacific
Lowe&#39;smpanies
Lsb Industries
LSCmmunications
LTC Properties
Luby&#39;s
Lumber Liquidators
Luxfer
Lydall
Lyon William Homes
LyondellBasell Industries NV
M&T Bank
M.D.C.
M/I Homes
Macerich
Mack-Cali Realty
Macquarie First Trust Global
Macquarie Global Infrastructure Total Return Fund
Macquarie Infrastructure
Macro Bank
